index,score,label
2315,10.162817113609565,-1
960,7.271165690417466,-1
962,7.238617801556051,-1
21603,6.739999327033244,-1
21561,6.274854346031695,-1
21723,6.109991471314105,-1
23165,3.642444863280559,-1
1389,3.532694053188683,-1
1641,3.5097285311462563,-1
1668,3.333005802990434,-1
1516,3.31672253673138,-1
1655,3.274350116755115,-1
1739,3.2579844543183247,-1
1847,3.250994140753329,-1
1403,3.240159414535375,-1
1445,3.232550758483437,-1
1702,3.2214851745062414,-1
1392,3.2118195832426015,-1
1414,3.1852642601594714,-1
1476,3.180870553218887,-1
1647,3.171806973668229,-1
27732,3.080279284506203,-1
25260,2.8147507617896768,-1
23227,2.7929307240744428,-1
2127,2.792030201356726,-1
20797,2.788889496600064,-1
22768,2.7874071077087823,-1
22292,2.78391529131187,-1
20740,2.775808975373252,-1
21858,2.7694447409629377,-1
885,2.766024186125156,-1
6,2.760224534443809,-1
3177,2.7601020536390757,-1
224,2.7475208590866287,-1
4469,2.747388559671159,-1
1471,2.744177322099339,-1
22472,2.740504396136964,-1
20772,2.7372864777939614,-1
20741,2.735320860018813,-1
26472,2.614648134374043,-1
16897,2.45051670826387,-1
16828,2.4503875466879528,-1
24440,2.3811031454139635,-1
24073,2.257936058913077,-1
1302,2.2279027458013427,-1
27917,2.188447768814361,-1
24272,2.1347689724121897,-1
16838,2.0511822476847636,-1
27728,2.0434041445951854,-1
26207,1.9326593825751053,-1
23049,1.9099037789697295,-1
22954,1.9062330663670959,-1
22341,1.8942833936720613,-1
21938,1.8878859438815292,-1
21800,1.8852657293606248,-1
23013,1.856165917266477,-1
22964,1.8288409839576292,-1
27716,1.793973871342177,-1
27558,1.7907494106655195,-1
27891,1.7561633862046435,-1
21376,1.6958998363672244,-1
1158,1.68614122137227,-1
27831,1.6841976794379325,-1
25011,1.681669479170202,-1
24927,1.6803570787897113,-1
25082,1.6802642903012963,-1
25113,1.680231628753364,-1
25111,1.6802041633608136,-1
25115,1.6801277056462802,-1
25080,1.6800623825504581,-1
24985,1.6797773363139357,-1
25013,1.679690486288808,-1
25074,1.679646690122249,-1
27913,1.6511538968255657,-1
16876,1.6123318892457235,-1
24717,1.559989235408052,-1
24925,1.559989235408052,-1
24483,1.5594310198615822,-1
24391,1.558226996435651,-1
24678,1.5573109884777803,-1
24560,1.557251603845161,-1
24558,1.5571907345967724,-1
24721,1.5571157614980926,-1
24698,1.5569160806709714,-1
24485,1.5568329421853295,-1
24719,1.5566896767592049,-1
24303,1.5565412151776987,-1
24299,1.5550662493654945,-1
24166,1.5535764373951357,-1
27407,1.5516496520332697,-1
21480,1.5460458005590403,-1
21928,1.541608452968425,-1
23233,1.5370694378331997,-1
24416,1.5189335399077561,-1
24680,1.515820300543687,-1
27401,1.5075788315645824,-1
24400,1.4778778444074607,-1
24352,1.4778778444074607,-1
24049,1.4778778444074607,-1
24675,1.4778778444074607,-1
24104,1.4778778444074607,-1
25143,1.4752773376143515,-1
22840,1.449218583876485,-1
24106,1.4368221489071653,-1
24564,1.4368221489071653,-1
24620,1.4368221489071653,-1
21326,1.4319688327218403,-1
27726,1.427776718333163,-1
22897,1.4207794810432846,-1
22439,1.399337719415774,-1
24051,1.3957664534068697,-1
24057,1.3957664534068697,-1
24545,1.3957664534068697,-1
22903,1.3898653259272695,-1
26460,1.3747435455798465,-1
27405,1.372469302082055,-1
16929,1.355326035278,-1
24291,1.3547107579065742,-1
23967,1.3547107579065742,-1
1154,1.3540064601201798,-1
917,1.3504652797254606,-1
22347,1.3411155372952823,-1
16816,1.3329146803357685,-1
21604,1.3235235991629017,-1
22390,1.3228644112404062,-1
27923,1.3221148401907763,-1
22427,1.3182361266732834,-1
27229,1.315441337401511,-1
24541,1.3136550624062786,-1
25104,1.3136550624062786,-1
23047,1.3125500481017744,-1
1144,1.312288013410427,-1
24723,1.3114504079209814,-1
24859,1.3110143192667763,-1
1296,1.3060934539222886,-1
6077,1.3036306184564657,-1
22365,1.2994921395280696,-1
25169,1.2978361809726835,-1
21798,1.291402432178826,-1
21748,1.28255709709897,-1
23231,1.2749992660205633,-1
24081,1.2725993669059832,-1
24933,1.2725993669059832,-1
24455,1.2725993669059832,-1
24095,1.2720107167352979,-1
24696,1.27072949328697,-1
24686,1.2703093470113276,-1
24694,1.2698981084305525,-1
24395,1.268478073403534,-1
1310,1.2675640610748287,-1
23225,1.2646793534545782,-1
27888,1.2643171071957435,-1
21559,1.2528635557127763,-1
1175,1.2520541242308318,-1
1387,1.2448378111228007,-1
27802,1.239018178516941,-1
27096,1.2321835422170748,-1
24176,1.2315436714056875,-1
24367,1.2315436714056875,-1
24684,1.2298133516733132,-1
25117,1.2297487708853543,-1
24476,1.2297012631792672,-1
24301,1.2285514282305319,-1
25167,1.2191491496938125,-1
80,1.2122679050043088,-1
24851,1.1990919959789765,-1
26389,1.195024389663779,-1
5433,1.192403545702559,-1
24108,1.1904879759053921,-1
24556,1.1904879759053921,-1
24232,1.1904879759053921,-1
24248,1.1904879759053921,-1
24629,1.187543982744229,-1
21470,1.1835603848865528,-1
24991,1.1833521699905334,-1
24987,1.182183763780171,-1
22543,1.1773001031695625,-1
5988,1.1720133069492447,-1
