length,duration,src_port,dst_port,src_ip,dst_ip,proto_BROWSER,proto_DNS,proto_HTTP,proto_MDNS,proto_QUIC,proto_SSDP,proto_TCP,proto_TLSv1.2,proto_TLSv1.3,proto_UDP,proto_UDP/XML,euclidean_to_mean,cosine_to_mean
1288,0.0,443,58715,3232904810,3232258180,False,False,False,False,False,False,False,False,False,True,False,5.451514488455966,-0.17738773200060365
252,0.0,443,58715,3232904810,3232258180,False,False,False,False,False,False,False,False,False,True,False,5.451869131557421,-0.17866462761710517
75,0.012469999999999981,60561,443,3232258180,2398826286,False,False,False,False,False,False,False,False,False,True,False,5.8670148905267405,-0.10403585268315474
75,0.0002420000000000755,58715,443,3232258180,3232904810,False,False,False,False,False,False,False,False,False,True,False,5.805569970479024,-0.252931994558391
69,0.008713999999999889,443,60561,2398826286,3232258180,False,False,False,False,False,False,False,False,False,True,False,5.450948991736457,-0.2178539490015978
69,0.00727600000000006,443,58715,3232904810,3232258180,False,False,False,False,False,False,False,False,False,True,False,5.4538884358463005,-0.17835496482008553
67,0.002797999999999856,443,60561,2398826286,3232258180,False,False,False,False,False,False,False,False,False,True,False,5.452960733300007,-0.2181591062914066
76,0.0006339999999998014,60561,443,3232258180,2398826286,False,False,False,False,False,False,False,False,False,True,False,5.870356453087706,-0.10468733299114158
741,0.059345000000000425,443,60561,2398826286,3232258180,False,False,False,False,False,False,False,False,False,True,False,5.465253291901774,-0.21317923549504197
82,0.0008429999999997051,60561,443,3232258180,2398826286,False,False,False,False,False,False,False,False,False,True,False,5.870096180580618,-0.10467247386723108
206,0.0025880000000002568,443,60561,2398826286,3232258180,False,False,False,False,False,False,False,False,False,True,False,5.449206304617782,-0.21815006754431793
76,0.0009120000000000239,60561,443,3232258180,2398826286,False,False,False,False,False,False,False,False,False,True,False,5.870233747209599,-0.10467280110965109
68,0.047015999999999725,443,60561,2398826286,3232258180,False,False,False,False,False,False,False,False,False,True,False,5.463074358469942,-0.21489631632924167
71,0.0948739999999999,58715,443,3232258180,3232904810,False,False,False,False,False,False,False,False,False,True,False,5.884355503486377,-0.24387216750321142
67,0.048218000000000316,443,58715,3232904810,3232258180,False,False,False,False,False,False,False,False,False,True,False,5.466729293299272,-0.17529431522557073
78,0.19121999999999995,0,0,308356158,3232258180,False,False,False,False,False,False,False,True,False,False,False,6.41267720853595,-0.24532642063463095
110,0.0,443,63752,398779366,3232258180,False,False,False,False,False,False,False,False,False,True,False,6.169988643469342,-0.2752989302720745
82,0.0006269999999997111,0,0,3232258180,308356158,False,False,False,False,False,False,False,True,False,False,False,6.225910689553474,0.34720647149349554
71,0.017942000000000125,58715,443,3232258180,3232904810,False,False,False,False,False,False,False,False,False,True,False,5.801822115220717,-0.2520229478444316
67,0.048184000000000005,443,58715,3232904810,3232258180,False,False,False,False,False,False,False,False,False,True,False,5.466698434849995,-0.1752975005897943
71,0.20798800000000028,58715,443,3232258180,3232904810,False,False,False,False,False,False,False,False,False,True,False,6.282278606539525,-0.22206819219769275
192,0.0535420000000002,0,0,3232258180,308356158,False,False,False,False,False,False,False,True,False,False,False,6.236830113436151,0.3497136463027059
54,0.03189499999999956,443,54646,308356158,3232258180,False,False,False,False,False,False,True,False,False,False,False,5.137272043493821,-0.5118231411791389
68,0.0,443,58715,3232904810,3232258180,False,False,False,False,False,False,False,False,False,True,False,5.456766313609316,-0.17873291340089317
113,0.040011999999999937,0,0,1257439092,3232258180,False,False,False,False,False,False,False,True,False,False,False,5.582257764852296,-0.24988358905681726
120,0.0012590000000001211,0,0,3232258180,1257439092,False,False,False,False,False,False,False,True,False,False,False,5.708776073931476,0.20309715020200764
71,0.16165699999999994,58715,443,3232258180,3232904810,False,False,False,False,False,False,False,False,False,True,False,6.0820465760127815,-0.2320685907768085
60,0.023627000000000287,443,54646,308356158,3232258180,False,False,False,False,False,False,True,False,False,False,False,5.134326721082561,-0.5126773760135942
